,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,worldwide_gross,worldwide_profit,release_date,percent_returns
49,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Music,30000000,165889117,135889117,2010-08-06,552.9637233333333
50,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Romance,30000000,165889117,135889117,2010-08-06,552.9637233333333
51,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Action,110000000,177241171,67241171,2010-06-11,161.12833727272726
52,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Adventure,110000000,177241171,67241171,2010-06-11,161.12833727272726
53,17.097,The A-Team,6.3,2703,17028.899999999998,117.0,Thriller,110000000,177241171,67241171,2010-06-11,161.12833727272726
54,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Action,150000000,319713881,169713881,2010-07-01,213.14258733333332
55,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Adventure,150000000,319713881,169713881,2010-07-01,213.14258733333332
56,16.595,The Last Airbender,4.6,2143,9857.8,103.0,Family,150000000,319713881,169713881,2010-07-01,213.14258733333332
57,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Action,40000000,127234389,87234389,2010-07-03,318.08597249999997
58,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Adventure,40000000,127234389,87234389,2010-07-03,318.08597249999997
59,16.215999999999998,Predators,6.1,1979,12071.9,107.0,Sci-Fi,40000000,127234389,87234389,2010-07-03,318.08597249999997
60,15.889,The Social Network,7.2,6116,44035.200000000004,120.0,Biography,40000000,224922135,184922135,2010-10-01,562.3053375
61,15.889,The Social Network,7.2,6116,44035.200000000004,120.0,Drama,40000000,224922135,184922135,2010-10-01,562.3053375
62,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Action,125000000,493214888,368214888,2010-04-02,394.57191040000004
63,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Adventure,125000000,493214888,368214888,2010-04-02,394.57191040000004
64,15.574000000000002,Clash of the Titans,5.7,3714,21169.8,106.0,Fantasy,125000000,493214888,368214888,2010-04-02,394.57191040000004
65,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Action,210000000,322459006,112459006,2010-05-14,153.55190761904763
66,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Adventure,210000000,322459006,112459006,2010-05-14,153.55190761904763
67,15.444,Robin Hood,6.3,2569,16184.699999999999,140.0,Drama,210000000,322459006,112459006,2010-05-14,153.55190761904763
68,0.68,Robin Hood,5.7,3,17.1,140.0,Action,210000000,322459006,112459006,2013-01-31,153.55190761904763
69,0.68,Robin Hood,5.7,3,17.1,140.0,Adventure,210000000,322459006,112459006,2013-01-31,153.55190761904763
70,0.68,Robin Hood,5.7,3,17.1,140.0,Drama,210000000,322459006,112459006,2013-01-31,153.55190761904763
71,39.975,Robin Hood,5.8,1194,6925.2,140.0,Action,210000000,322459006,112459006,2018-11-21,153.55190761904763
72,39.975,Robin Hood,5.8,1194,6925.2,140.0,Adventure,210000000,322459006,112459006,2018-11-21,153.55190761904763
73,39.975,Robin Hood,5.8,1194,6925.2,140.0,Drama,210000000,322459006,112459006,2018-11-21,153.55190761904763
74,15.041,Shrek Forever After,6.1,3843,23442.3,93.0,Adventure,165000000,756244673,591244673,2010-05-16,458.3301048484849
75,15.041,Shrek Forever After,6.1,3843,23442.3,93.0,Animation,165000000,756244673,591244673,2010-05-16,458.3301048484849
76,15.041,Shrek Forever After,6.1,3843,23442.3,93.0,Comedy,165000000,756244673,591244673,2010-05-16,458.3301048484849
77,14.69,Easy A,6.8,4168,28342.399999999998,92.0,Comedy,8000000,76200721,68200721,2010-09-17,952.5090125
78,14.69,Easy A,6.8,4168,28342.399999999998,92.0,Drama,8000000,76200721,68200721,2010-09-17,952.5090125
79,14.69,Easy A,6.8,4168,28342.399999999998,92.0,Romance,8000000,76200721,68200721,2010-09-17,952.5090125
80,14.463,The Sorcerer's Apprentice,5.9,2879,16986.100000000002,109.0,Action,160000000,217986320,57986320,2010-07-13,136.24145000000001
81,14.463,The Sorcerer's Apprentice,5.9,2879,16986.100000000002,109.0,Adventure,160000000,217986320,57986320,2010-07-13,136.24145000000001
82,14.463,The Sorcerer's Apprentice,5.9,2879,16986.100000000002,109.0,Family,160000000,217986320,57986320,2010-07-13,136.24145000000001
83,14.291,Grown Ups,6.1,3171,19343.1,102.0,Comedy,75000000,272223430,197223430,2010-06-24,362.9645733333333
84,14.172,Faster,6.2,895,5549.0,98.0,Action,24000000,35792945,11792945,2010-11-23,149.13727083333333
85,14.172,Faster,6.2,895,5549.0,98.0,Crime,24000000,35792945,11792945,2010-11-23,149.13727083333333
86,14.172,Faster,6.2,895,5549.0,98.0,Drama,24000000,35792945,11792945,2010-11-23,149.13727083333333
87,14.03,The Wolfman,5.7,1009,5751.3,103.0,Drama,150000000,142634358,-7365642,2010-02-12,95.089572
88,14.03,The Wolfman,5.7,1009,5751.3,103.0,Fantasy,150000000,142634358,-7365642,2010-02-12,95.089572
89,14.03,The Wolfman,5.7,1009,5751.3,103.0,Horror,150000000,142634358,-7365642,2010-02-12,95.089572
90,14.01,Unstoppable,6.4,1913,12243.2,98.0,Action,95000000,165720921,70720921,2010-11-12,174.4430747368421
91,14.01,Unstoppable,6.4,1913,12243.2,98.0,Thriller,95000000,165720921,70720921,2010-11-12,174.4430747368421
92,0.6,Unstoppable,1.6,4,6.4,98.0,Action,95000000,165720921,70720921,2013-09-24,174.4430747368421
93,0.6,Unstoppable,1.6,4,6.4,98.0,Thriller,95000000,165720921,70720921,2013-09-24,174.4430747368421
94,13.745,Black Swan,7.6,8374,63642.399999999994,108.0,Drama,13000000,331266710,318266710,2010-12-03,2548.205461538462
95,13.745,Black Swan,7.6,8374,63642.399999999994,108.0,Thriller,13000000,331266710,318266710,2010-12-03,2548.205461538462
96,13.548,Centurion,6.1,673,4105.3,97.0,Action,15000000,7885048,-7114952,2010-02-15,52.56698666666667
97,13.548,Centurion,6.1,673,4105.3,97.0,Adventure,15000000,7885048,-7114952,2010-02-15,52.56698666666667
98,13.548,Centurion,6.1,673,4105.3,97.0,Drama,15000000,7885048,-7114952,2010-02-15,52.56698666666667
99,13.508,The Other Guys,6.2,2187,13559.4,107.0,Action,100000000,170936470,70936470,2010-08-06,170.93647
100,13.508,The Other Guys,6.2,2187,13559.4,107.0,Comedy,100000000,170936470,70936470,2010-08-06,170.93647
